ttrip_id,oeast,onrth,deast,denrth,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
70811910101.00,547372,168301,545253,168064,624.03,62.403,1,1,2794,435,1,0.47,0,1,1,1932,2487,1,783,2904,1,1304,814,480,0,1.3,0,0,0,0,0,0,1,1304,1.3,0,814
90802410201.00,547045,167174,544418,167487,233.02,23.302,1,1,4180,539,1,0.47,0,1,1,2528,3294,1,924,3563,1,1184,697,485,0,1.3,1,1475,404,703,1,1.65,1,1329.5,1.475,0.5,550
90802610201.00,547473,167114,546636,168260,459.85,45.985,1,1,1944,320,1,0.47,0,1,1,1348,1789,1,449,1819,1,911,631,265,0,1.3,0,0,0,0,0,0,1,911,1.3,0,631
50801110102.00,544524,167644,547447,167777,153.54,15.354,1,1,3701,494,1,0.47,0,1,1,2522,3449,1,739,3701,1,1290,776,512,0,1.3,1,1841,403,1053,1,1.65,1,1565.5,1.475,0.5,589
50760410403.00,543255,167648,546716,168395,690.93,69.093,1,1,5137,615,2,0.47,0,1,1,2918,3937,1,912,4487,1,1550,748,802,0,1.3,0,0,0,0,0,0,1,1550,1.3,0,748
70781810202.00,544251,170018,545522,167607,700.66,70.066,1,1,3215,354,2,0.47,0,1,1,2327,3200,1,628,3214,1,614,277,341,0,1.3,0,0,0,0,0,0,1,614,1.3,0,277
90673010501.00,544272,165750,545157,166602,183.54,18.354,1,1,2279,297,1,0.47,0,1,1,1589,2187,1,467,2400,1,912,744,167,0,1.3,0,0,0,0,0,0,1,912,1.3,0,744
70670410102.00,544822,166769,547110,167293,463.74,46.374,1,1,3010,404,2,0.47,0,1,1,1993,2751,1,650,3010,1,1356,546,808,0,1.3,0,0,0,0,0,0,1,1356,1.3,0,546
70781810201.00,545522,167607,544251,170018,700.66,70.066,1,1,3337,365,2,0.47,0,1,1,2412,3200,1,629,3200,1,716,315,401,0,1.3,0,0,0,0,0,0,1,716,1.3,0,315
70682310202.00,543210,168258,546113,164605,355.66,35.566,1,1,6945,965,2,0.47,0,1,1,4373,5732,1,1443,6628,1,2575,1810,764,0,1.3,0,0,0,0,0,0,1,2575,1.3,0,1810
60811010103.00,544076,165825,547726,170309,373.27,37.327,1,1,8038,1053,2,0.47,0,1,1,5648,7665,1,1678,8562,1,2533,786,1456,1,1.3,0,0,0,0,0,0,1,2533,1.3,1,786
80710710101.00,545601,166590,547122,168452,280.61,28.061,1,1,3585,441,2,0.47,0,1,1,2311,3221,1,620,3221,1,1655,1249,406,0,1.3,0,0,0,0,0,0,1,1655,1.3,0,1249
60811010101.00,545915,168524,544822,166769,373.27,37.327,1,1,3230,376,2,0.47,0,1,1,2268,3084,1,637,3085,1,1579,1433,146,0,1.3,0,0,0,0,0,0,1,1579,1.3,0,1433
50783510101.00,543708,165847,545051,166028,422.66,42.266,1,1,1720,245,1,0.47,0,1,1,1277,1707,1,365,1712,1,890,701,203,0,1.3,0,0,0,0,0,0,1,890,1.3,0,701
60653010101.00,542414,170121,541641,168000,467.17,46.717,1,1,3612,487,3,0.47,0,1,1,2201,2950,1,816,3515,1,2173,2107,54,0,1.3,1,2405,951,1028,1,1.65,1,2289,1.475,0.5,1529
